Issue Key,Title,Link,Labels,Project ID,Project Key,Project Name,Status,Description Filename,Resolution,Comments Filename
CLOUD-4083,"As a Studio tester, I would like the nightly deployment to run only for artifacts that have passed functional tests",https://jira.atlassian.com/browse/CLOUD-4083,,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-4083_description.txt,Won't Fix,jira_description_comments/CLOUD-4083_comments.txt
CONFCLOUD-74615,[PIR] Increase test coverage for bodied macros,https://jira.atlassian.com/browse/CONFCLOUD-74615,"PIR-13136, pir-action",18513,CONFCLOUD,Confluence Cloud,Closed,jira_description_comments/CONFCLOUD-74615_description.txt,Fixed,jira_description_comments/CONFCLOUD-74615_comments.txt
BAM-12594,Report of failed unit tests across plans,https://jira.atlassian.com/browse/BAM-12594,,11011,BAM,Bamboo Data Center,Gathering Interest,jira_description_comments/BAM-12594_description.txt,,jira_description_comments/BAM-12594_comments.txt
FE-2577,Forms in admin screens lack IDs,https://jira.atlassian.com/browse/FE-2577,jac-cleanup-phase4,11830,FE,FishEye,Not Being Considered,jira_description_comments/FE-2577_description.txt,,jira_description_comments/FE-2577_comments.txt
CLOUD-4133,Make TestCruciblePermissionSchemesSynchronisation more comprehensive,https://jira.atlassian.com/browse/CLOUD-4133,,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-4133_description.txt,Obsolete,jira_description_comments/CLOUD-4133_comments.txt
BAM-22456,Preserve Artifacts of Retried Failed Jobs,https://jira.atlassian.com/browse/BAM-22456,,11011,BAM,Bamboo Data Center,Gathering Interest,jira_description_comments/BAM-22456_description.txt,,jira_description_comments/BAM-22456_comments.txt
CLOUD-3512,Failed test TestJiraApplicationLinks,https://jira.atlassian.com/browse/CLOUD-3512,,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-3512_description.txt,Fixed,jira_description_comments/CLOUD-3512_comments.txt
CONFCLOUD-60481,Macro property panels with custom buttons don't show up,https://jira.atlassian.com/browse/CONFCLOUD-60481,"CE-447, cc-integration",18513,CONFCLOUD,Confluence Cloud,Closed,jira_description_comments/CONFCLOUD-60481_description.txt,Invalid,jira_description_comments/CONFCLOUD-60481_comments.txt
BAM-20948,Build result summary should show details about skipped/Quarantined tests,https://jira.atlassian.com/browse/BAM-20948,,11011,BAM,Bamboo Data Center,Gathering Interest,jira_description_comments/BAM-20948_description.txt,,jira_description_comments/BAM-20948_comments.txt
CLOUD-3376,Edit Project Defaults page (for Crucible Projects) in Global Admin is broken,https://jira.atlassian.com/browse/CLOUD-3376,,14613,CLOUD,Atlassian Cloud,Closed,jira_description_comments/CLOUD-3376_description.txt,Fixed,jira_description_comments/CLOUD-3376_comments.txt
