Issue Key,Title,Link,Labels,Project ID,Project Key,Project Name,Status,Resolution,GitHub Project Link
OOZIE-3419,[fluent-job] GraphVisualization fails before JDK 1.8.0_u40,https://issues.apache.org/jira/browse/OOZIE-3419,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3417,[FS Action] Refactor and optimize FsActionExecutor.java decision making part,https://issues.apache.org/jira/browse/OOZIE-3417,performance,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3538,Invalid <perCoreThreadCount> value is pom.xml,https://issues.apache.org/jira/browse/OOZIE-3538,,12311620,OOZIE,Oozie,Resolved,Fixed,https://github.com/apache/oozie
OOZIE-3536,Invalid configuration tag <additionalparam> in maven-javadoc-plugin,https://issues.apache.org/jira/browse/OOZIE-3536,,12311620,OOZIE,Oozie,Resolved,Fixed,https://github.com/apache/oozie
OOZIE-3397,Improve logging in NotificationXCommand,https://issues.apache.org/jira/browse/OOZIE-3397,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3386,Misleading error message when workflow application does not exist,https://issues.apache.org/jira/browse/OOZIE-3386,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3389,Getting input dependency list on the UI throws NPE,https://issues.apache.org/jira/browse/OOZIE-3389,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3390,[Shell action] STDERR contains a bogus error message,https://issues.apache.org/jira/browse/OOZIE-3390,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3404,The env variable of SPARK_HOME needs to be set when running pySpark,https://issues.apache.org/jira/browse/OOZIE-3404,,12311620,OOZIE,Oozie,Patch Available,,https://github.com/apache/oozie
OOZIE-3400,[core] Fix PurgeService sub-sub-workflow checking,https://issues.apache.org/jira/browse/OOZIE-3400,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3401,[test] fix TestPySpark failure,https://issues.apache.org/jira/browse/OOZIE-3401,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3410,[build] Deploy fluent-job and oozie-sharelib-git artifacts,https://issues.apache.org/jira/browse/OOZIE-3410,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3601,Upgrade quartz to 2.3.2,https://issues.apache.org/jira/browse/OOZIE-3601,,12311620,OOZIE,Oozie,Resolved,Fixed,https://github.com/apache/oozie
OOZIE-3361,[docs] Document embedded XML job submission mode,https://issues.apache.org/jira/browse/OOZIE-3361,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3365,Workflow and coordinator action status remains RUNNING after rerun,https://issues.apache.org/jira/browse/OOZIE-3365,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3364,Rerunning Oozie bundle jobs starts the coordinators in indeterminate order,https://issues.apache.org/jira/browse/OOZIE-3364,,12311620,OOZIE,Oozie,Patch Available,,https://github.com/apache/oozie
OOZIE-3358,[docs] Check and fix differences between help and command line documentation for Fluent Job API,https://issues.apache.org/jira/browse/OOZIE-3358,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3370,Property filtering is not consistent across job submission,https://issues.apache.org/jira/browse/OOZIE-3370,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3366,Update workflow status and subworkflow status on suspend command,https://issues.apache.org/jira/browse/OOZIE-3366,,12311620,OOZIE,Oozie,Patch Available,,https://github.com/apache/oozie
OOZIE-3367,Using && in EL expressions in oozie bundle.xml files generates parse errors,https://issues.apache.org/jira/browse/OOZIE-3367,,12311620,OOZIE,Oozie,Patch Available,,https://github.com/apache/oozie
OOZIE-3373,[core] Logging of lock information is inconsistent,https://issues.apache.org/jira/browse/OOZIE-3373,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3369,[core] Upgrade guru.nidi:graphviz-java to 0.7.0,https://issues.apache.org/jira/browse/OOZIE-3369,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3460,Remove pom files from Oozie sharelibs,https://issues.apache.org/jira/browse/OOZIE-3460,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3476,Migrate classes without setup/tearDown to JUnit4,https://issues.apache.org/jira/browse/OOZIE-3476,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3468,[build] Use modernizer plugin,https://issues.apache.org/jira/browse/OOZIE-3468,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3170,Oozie Diagnostic Bundle tool fails with NPE due to missing service class,https://issues.apache.org/jira/browse/OOZIE-3170,,12311620,OOZIE,Oozie,Patch Available,,https://github.com/apache/oozie
OOZIE-3155,[ui] Job DAG is not refreshed when a job is finished,https://issues.apache.org/jira/browse/OOZIE-3155,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3120,Upgrade maven-assembly plugin to v. 3.1.0,https://issues.apache.org/jira/browse/OOZIE-3120,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3150,Remove references to not present dependencies within NOTICE.txt,https://issues.apache.org/jira/browse/OOZIE-3150,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
TINKERPOP-2946,Resolve ordering issues in gherkin tests,https://issues.apache.org/jira/browse/TINKERPOP-2946,,12316520,TINKERPOP,TinkerPop,Closed,Fixed,https://github.com/apache/tinkerpop
OOZIE-3348,[Hive action] Remove dependency hive-contrib,https://issues.apache.org/jira/browse/OOZIE-3348,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3341,[docs] Fix difference between command line help and documentation,https://issues.apache.org/jira/browse/OOZIE-3341,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3334,Don't use org.apache.hadoop.hbase.security.User in HDFSCredentials,https://issues.apache.org/jira/browse/OOZIE-3334,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3340,[fluent-job] Create error handler ACTION only if needed,https://issues.apache.org/jira/browse/OOZIE-3340,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
OOZIE-3338,[build] Remove SVN references,https://issues.apache.org/jira/browse/OOZIE-3338,,12311620,OOZIE,Oozie,Closed,Fixed,https://github.com/apache/oozie
